fold,train_query_count,test_query_count,train_ndcg_at_10,test_precision_at_10,test_ndcg_at_10,test_mrr,precision_weight,regularization_strength,test_query_ids,weights_json
1,20,5,0.925560453948815,0.74,0.9856522108155857,1.0,0.0,0.0,web_10y_2y_spread|web_banks_credit_cycle|web_high_yield_spread|web_jpm_filings|web_unemployment,"{""base_score"": 2.0, ""company_ir_scope_match"": 0.5, ""expected_ticker_match"": 0.75, ""field_bad"": 4.0, ""field_exact"": -0.5, ""macro_scope_match"": 0.25, ""rank_prior"": 4.0, ""sec_scope_match"": 0.25, ""signal_strength"": -0.5, ""source_scope_match"": 2.0, ""wrong_company"": -1.0}"
2,20,5,0.9288784952896633,0.96,0.9710695015133872,1.0,0.0,0.0,web_apple_10q|web_boeing_supply_chain|web_home_depot_8k|web_microsoft_margins|web_visa_spending,"{""base_score"": 2.0, ""company_ir_scope_match"": 0.5, ""expected_ticker_match"": 0.75, ""field_bad"": 4.0, ""field_exact"": 0.0, ""macro_scope_match"": 0.5, ""rank_prior"": 4.0, ""sec_scope_match"": 0.25, ""signal_strength"": -0.5, ""source_scope_match"": 1.0, ""wrong_company"": -1.0}"
3,20,5,0.9637186596694363,0.8400000000000001,0.9301555250643598,1.0,0.0,0.0,web_apple_filings|web_chevron_energy|web_inflation|web_mmm_filings|web_vix,"{""base_score"": 0.5, ""company_ir_scope_match"": 0.5, ""expected_ticker_match"": 0.75, ""field_bad"": -2.0, ""field_exact"": 0.0, ""macro_scope_match"": 0.25, ""rank_prior"": 4.0, ""sec_scope_match"": 0.0, ""signal_strength"": 0.0, ""source_scope_match"": 1.0, ""wrong_company"": -1.0}"
4,20,5,0.9613439102980065,0.8400000000000001,0.8881733412429025,1.0,0.0,0.0,web_apple_guidance|web_consumer_demand|web_it_real_yields|web_mmm_litigation|web_wti_oil,"{""base_score"": 0.5, ""company_ir_scope_match"": 0.25, ""expected_ticker_match"": 0.75, ""field_bad"": -1.0, ""field_exact"": 0.0, ""macro_scope_match"": 0.25, ""rank_prior"": 4.0, ""sec_scope_match"": 0.25, ""signal_strength"": 0.0, ""source_scope_match"": 1.0, ""wrong_company"": -1.0}"
5,20,5,0.9394837156868496,0.9,0.9321650423394978,1.0,0.0,0.0,web_apple_risk|web_earnings_risk|web_jpm_credit|web_portfolio_rates|web_yield_curve,"{""base_score"": 4.0, ""company_ir_scope_match"": -2.0, ""expected_ticker_match"": 0.75, ""field_bad"": -2.0, ""field_exact"": -0.5, ""macro_scope_match"": 0.5, ""rank_prior"": 4.0, ""sec_scope_match"": -1.0, ""signal_strength"": -0.5, ""source_scope_match"": 4.0, ""wrong_company"": -1.0}"
