source_type,source_family_top,source_type_top,context_rows,unique_docs,train_rows,test_rows,test_share,causal_valid_rate,provenance_completeness,avg_final_score,avg_age_days,duplicate_cluster_count,duplicate_context_share,avg_signal_count_rule_proxy,non_neutral_share_rule_proxy,avg_risk_intensity_rule_proxy,avg_uncertainty_intensity_rule_proxy,avg_action_relevance_rule_proxy,source_integrity_score,extraction_readiness_proxy_score,audit_note
sec_filing_exhibit,sec_edgar,sec_filing_exhibit,3029,166,2368,661,0.218224,1.0,1.0,0.899319,170.271191,166,0.945196,2.420931,0.885111,0.130472,0.090624,0.692342,1.0,0.513589,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
sec_filing_section,sec_edgar,sec_filing_section,8167,688,7753,414,0.050692,1.0,1.0,0.897452,166.775828,688,0.915759,1.98445,0.528468,0.277201,0.241475,0.500049,1.0,0.410343,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
company_earnings_release,company_ir,company_earnings_release,471,54,378,93,0.197452,1.0,1.0,0.894386,159.935628,54,0.88535,5.057325,0.997877,0.596603,0.052017,0.840467,0.954,0.812361,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
company_press_release,company_ir,company_press_release,136,25,78,58,0.426471,1.0,1.0,0.890501,122.167545,25,0.816176,4.125,0.992647,0.346324,0.053309,0.773272,0.925,0.699213,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
official_macro_release,official_macro,official_macro_release,16550,2501,14780,1770,0.106949,1.0,0.882353,0.404396,48.91576,2501,0.848882,2.012628,0.162115,0.309855,0.24852,0.668097,0.923529,0.378257,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
company_official_archive,company_ir,company_official_archive,73,15,29,44,0.60274,1.0,1.0,0.901152,87.760845,15,0.794521,6.643836,1.0,0.764384,0.089041,0.937534,0.915,0.861069,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
company_financial_report,company_ir,company_financial_report,51,5,45,6,0.117647,1.0,1.0,0.896063,126.064146,5,0.901961,4.588235,1.0,0.852941,0.607843,0.81098,0.905,0.872098,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
company_sec_filing_hub,company_ir,company_sec_filing_hub,16,2,16,0,0.0,1.0,1.0,0.894708,194.971366,2,0.875,7.8125,1.0,1.0,0.0,1.0,0.902,0.9,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
