source_family,source_family_top,source_type_top,context_rows,unique_docs,train_rows,test_rows,test_share,causal_valid_rate,provenance_completeness,avg_final_score,avg_age_days,duplicate_cluster_count,duplicate_context_share,avg_signal_count_rule_proxy,non_neutral_share_rule_proxy,avg_risk_intensity_rule_proxy,avg_uncertainty_intensity_rule_proxy,avg_action_relevance_rule_proxy,source_integrity_score,extraction_readiness_proxy_score,audit_note
company_ir,company_ir,company_earnings_release,747,101,546,201,0.269076,1.0,1.0,0.894461,144.444206,101,0.864793,5.069612,0.997323,0.593574,0.092704,0.839123,1.0,0.815596,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
sec_edgar,sec_edgar,sec_filing_section,11196,854,10121,1075,0.096016,1.0,1.0,0.897957,167.721474,854,0.923723,2.102537,0.624955,0.237504,0.200663,0.552072,1.0,0.438275,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
official_macro,official_macro,official_macro_release,16550,2501,14780,1770,0.106949,1.0,0.882353,0.404396,48.91576,2501,0.848882,2.012628,0.162115,0.309855,0.24852,0.668097,0.923529,0.378257,Proxy only; validate with source-stratified LLM/human labels before promoting to PPO.
