doc_id,length
official_macro_dcoilwtico_2010-06-23,65
official_macro_dcoilwtico_2010-06-24,65
official_macro_dcoilwtico_2010-06-25,65
official_macro_dcoilwtico_2010-06-28,65
official_macro_dcoilwtico_2010-06-29,65
official_macro_dcoilwtico_2010-06-30,65
official_macro_dcoilwtico_2010-07-01,65
official_macro_dcoilwtico_2010-07-02,65
official_macro_dcoilwtico_2010-07-06,65
official_macro_dcoilwtico_2010-07-07,65
official_macro_dcoilwtico_2010-07-08,65
official_macro_dcoilwtico_2010-07-09,65
official_macro_dcoilwtico_2010-07-12,65
official_macro_dcoilwtico_2010-07-13,65
official_macro_dcoilwtico_2010-07-14,65
official_macro_dcoilwtico_2010-07-15,65
official_macro_dcoilwtico_2010-07-16,65
official_macro_dcoilwtico_2010-07-19,65
official_macro_dcoilwtico_2010-07-20,65
official_macro_dcoilwtico_2010-07-21,65
official_macro_dcoilwtico_2010-07-22,65
official_macro_dcoilwtico_2010-07-23,65
official_macro_dcoilwtico_2010-07-26,65
official_macro_dcoilwtico_2010-07-27,65
official_macro_dcoilwtico_2010-07-28,65
official_macro_dcoilwtico_2010-07-29,65
official_macro_dcoilwtico_2010-07-30,65
official_macro_dcoilwtico_2010-08-02,65
official_macro_dcoilwtico_2010-08-03,65
official_macro_dcoilwtico_2010-08-04,65
official_macro_dcoilwtico_2010-08-05,65
official_macro_dcoilwtico_2010-08-06,65
official_macro_dcoilwtico_2010-08-09,65
official_macro_dcoilwtico_2010-08-10,65
official_macro_dcoilwtico_2010-08-11,65
official_macro_dcoilwtico_2010-08-12,65
official_macro_dcoilwtico_2010-08-13,65
official_macro_dcoilwtico_2010-08-16,65
official_macro_dcoilwtico_2010-08-17,65
official_macro_dcoilwtico_2010-08-18,65
official_macro_dcoilwtico_2010-08-19,65
official_macro_dcoilwtico_2010-08-20,65
official_macro_dcoilwtico_2010-08-23,65
official_macro_dcoilwtico_2010-08-24,65
official_macro_dcoilwtico_2010-08-25,65
official_macro_dcoilwtico_2010-08-26,65
official_macro_dcoilwtico_2010-08-27,65
official_macro_dcoilwtico_2010-08-30,65
official_macro_dcoilwtico_2010-08-31,65
official_macro_dcoilwtico_2010-09-01,65
official_macro_dcoilwtico_2010-09-02,65
official_macro_dcoilwtico_2010-09-03,65
official_macro_dcoilwtico_2010-09-07,65
official_macro_dcoilwtico_2010-09-08,65
official_macro_dcoilwtico_2010-09-09,65
official_macro_dcoilwtico_2010-09-10,65
official_macro_dcoilwtico_2010-09-13,65
official_macro_dcoilwtico_2010-09-14,65
official_macro_dcoilwtico_2010-09-15,65
official_macro_dcoilwtico_2010-09-16,65
official_macro_dcoilwtico_2010-09-17,65
official_macro_dcoilwtico_2010-09-20,65
official_macro_dcoilwtico_2010-09-21,65
official_macro_dcoilwtico_2010-09-22,65
official_macro_dcoilwtico_2010-09-23,65
official_macro_dcoilwtico_2010-09-24,65
official_macro_dcoilwtico_2010-09-27,65
official_macro_dcoilwtico_2010-09-28,65
official_macro_dcoilwtico_2010-09-29,65
official_macro_dcoilwtico_2010-09-30,65
official_macro_dcoilwtico_2010-10-01,65
official_macro_dcoilwtico_2010-10-04,65
official_macro_dcoilwtico_2010-10-05,65
official_macro_dcoilwtico_2010-10-06,65
official_macro_dcoilwtico_2010-10-07,65
official_macro_dcoilwtico_2010-10-08,65
official_macro_dcoilwtico_2010-10-11,65
official_macro_dcoilwtico_2010-10-12,65
official_macro_dcoilwtico_2010-10-13,65
official_macro_dcoilwtico_2010-10-14,65
official_macro_dcoilwtico_2010-10-15,65
official_macro_dcoilwtico_2010-10-18,65
official_macro_dcoilwtico_2010-10-19,65
official_macro_dcoilwtico_2010-10-20,65
official_macro_dcoilwtico_2010-10-21,65
official_macro_dcoilwtico_2010-10-22,65
official_macro_dcoilwtico_2010-10-25,65
official_macro_dcoilwtico_2010-10-26,65
official_macro_dcoilwtico_2010-10-27,65
official_macro_dcoilwtico_2010-10-28,65
official_macro_dcoilwtico_2010-10-29,65
official_macro_dcoilwtico_2010-11-01,65
official_macro_dcoilwtico_2010-11-02,65
official_macro_dcoilwtico_2010-11-03,65
official_macro_dcoilwtico_2010-11-04,65
official_macro_dcoilwtico_2010-11-05,65
official_macro_dcoilwtico_2010-11-08,65
official_macro_dcoilwtico_2010-11-09,65
official_macro_dcoilwtico_2010-11-10,65
official_macro_dcoilwtico_2010-11-11,65
official_macro_dcoilwtico_2010-11-12,65
official_macro_dcoilwtico_2010-11-15,65
official_macro_dcoilwtico_2010-11-16,65
official_macro_dcoilwtico_2010-11-17,65
official_macro_dcoilwtico_2010-11-18,65
official_macro_dcoilwtico_2010-11-19,65
official_macro_dcoilwtico_2010-11-22,65
official_macro_dcoilwtico_2010-11-23,65
official_macro_dcoilwtico_2010-11-24,65
official_macro_dcoilwtico_2010-11-26,65
official_macro_dcoilwtico_2010-11-29,65
official_macro_dcoilwtico_2010-11-30,65
official_macro_dcoilwtico_2010-12-01,65
official_macro_dcoilwtico_2010-12-02,65
official_macro_dcoilwtico_2010-12-03,65
official_macro_dcoilwtico_2010-12-06,65
official_macro_dcoilwtico_2010-12-07,65
official_macro_dcoilwtico_2010-12-08,65
official_macro_dcoilwtico_2010-12-09,65
official_macro_dcoilwtico_2010-12-10,65
official_macro_dcoilwtico_2010-12-13,65
official_macro_dcoilwtico_2010-12-14,65
official_macro_dcoilwtico_2010-12-15,65
official_macro_dcoilwtico_2010-12-16,65
official_macro_dcoilwtico_2010-12-17,65
official_macro_dcoilwtico_2010-12-20,65
official_macro_dcoilwtico_2010-12-21,65
official_macro_dcoilwtico_2010-12-22,65
official_macro_dcoilwtico_2010-12-23,65
official_macro_dcoilwtico_2010-12-27,65
official_macro_dcoilwtico_2010-12-28,65
official_macro_dcoilwtico_2010-12-29,65
official_macro_dcoilwtico_2010-12-30,65
official_macro_dcoilwtico_2010-12-31,65
official_macro_dcoilwtico_2011-01-03,65
official_macro_dcoilwtico_2011-01-04,65
official_macro_dcoilwtico_2011-01-05,65
official_macro_dcoilwtico_2011-01-06,65
official_macro_dcoilwtico_2011-01-07,65
official_macro_dcoilwtico_2011-01-10,65
official_macro_dcoilwtico_2011-01-11,65
official_macro_dcoilwtico_2011-01-12,65
official_macro_dcoilwtico_2011-01-13,65
official_macro_dcoilwtico_2011-01-14,65
official_macro_dcoilwtico_2011-01-18,65
official_macro_dcoilwtico_2011-01-19,65
official_macro_dcoilwtico_2011-01-20,65
official_macro_dcoilwtico_2011-01-21,65
official_macro_dcoilwtico_2011-01-24,65
official_macro_dcoilwtico_2011-01-25,65
official_macro_dcoilwtico_2011-01-26,65
official_macro_dcoilwtico_2011-01-27,65
official_macro_dcoilwtico_2011-01-28,65
official_macro_dcoilwtico_2011-01-31,65
official_macro_dcoilwtico_2011-02-01,65
official_macro_dcoilwtico_2011-02-02,65
official_macro_dcoilwtico_2011-02-03,65
official_macro_dcoilwtico_2011-02-04,65
official_macro_dcoilwtico_2011-02-07,65
official_macro_dcoilwtico_2011-02-08,65
official_macro_dcoilwtico_2011-02-09,65
official_macro_dcoilwtico_2011-02-10,65
official_macro_dcoilwtico_2011-02-11,65
official_macro_dcoilwtico_2011-02-14,65
official_macro_dcoilwtico_2011-02-15,65
official_macro_dcoilwtico_2011-02-16,65
official_macro_dcoilwtico_2011-02-17,65
official_macro_dcoilwtico_2011-02-18,65
official_macro_dcoilwtico_2011-02-22,65
official_macro_dcoilwtico_2011-02-23,65
official_macro_dcoilwtico_2011-02-24,65
official_macro_dcoilwtico_2011-02-25,65
official_macro_dcoilwtico_2011-02-28,65
official_macro_dcoilwtico_2011-03-01,65
official_macro_dcoilwtico_2011-03-02,65
official_macro_dcoilwtico_2011-03-03,65
official_macro_dcoilwtico_2011-03-04,65
official_macro_dcoilwtico_2011-03-07,65
official_macro_dcoilwtico_2011-03-08,65
official_macro_dcoilwtico_2011-03-09,65
official_macro_dcoilwtico_2011-03-10,65
official_macro_dcoilwtico_2011-03-11,65
official_macro_dcoilwtico_2011-03-14,65
official_macro_dcoilwtico_2011-03-15,65
official_macro_dcoilwtico_2011-03-16,65
official_macro_dcoilwtico_2011-03-17,65
official_macro_dcoilwtico_2011-03-18,65
official_macro_dcoilwtico_2011-03-21,65
official_macro_dcoilwtico_2011-03-22,65
official_macro_dcoilwtico_2011-03-23,65
official_macro_dcoilwtico_2011-03-24,65
official_macro_dcoilwtico_2011-03-25,65
official_macro_dcoilwtico_2011-03-28,65
official_macro_dcoilwtico_2011-03-29,65
