ticker,company,source_type,source_url,source_http_status,source_final_url,source_error,vendor_profile,vendor_recommendation,archive_pages_seen,candidate_links_seen,source_index,accepted_documents,rejected_candidates_checked
AAPL,Apple,company_news_archive,https://www.apple.com/newsroom/archive/,200,https://www.apple.com/newsroom/archive/,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,7,30,1,3,0
AAPL,Apple,investor_relations,https://investor.apple.com/,200,https://investor.apple.com/investor-relations/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,9,10,2,0,10
AAPL,Apple,earnings_results_archive,https://investor.apple.com/investor-relations/default.aspx,200,https://investor.apple.com/investor-relations/default.aspx,,q4_or_q4_like,Discover Q4 module/API parameters or use browser network capture to identify JSON endpoints.,9,18,3,0,18
AMGN,Amgen,press_releases_archive,https://investors.amgen.com/news-and-events/press-releases/,,,"HTTPSConnectionPool(host='investors.amgen.com', port=443): Read timed out. (read timeout=15)",fetch_problem,Recheck with requests/certifi/curl fallback and replace if still blocked.,0,0,4,0,0
AMGN,Amgen,company_news_archive,https://www.amgen.com/newsroom/press-releases,200,https://www.amgen.com/newsroom/press-releases,,static_html_or_custom,Use generic archive discovery first; add source adapter only if coverage is poor.,12,12,5,0,12
