ticker,company,source_type,url,crawler_grade,vendor_profile,vendor_recommendation,accepted_documents,candidate_links_seen,source_http_status,priority
JNJ,Johnson & Johnson,company_presentation_archive,https://www.investor.jnj.com/events-and-presentations/default.aspx,crawler_ready,cloudflare_challenge,Q4 feed returned no accepted full-body documents; inspect endpoint parameters or use browser network capture.,0,0,,high_vendor_api_adapter
NKE,NIKE Inc.,company_news_archive,https://investors.nike.com/investors/news-events-and-reports/investor-news/investor-news-details/,crawler_ready,cloudflare_challenge,Q4 feed returned no accepted full-body documents; inspect endpoint parameters or use browser network capture.,0,0,,high_vendor_api_adapter
TRV,The Travelers Companies Inc.,company_earnings_archive,https://investor.travelers.com/financial-information/quarterly-results/default.aspx,crawler_ready,q4_or_q4_like,Q4 feed returned no accepted full-body documents; inspect endpoint parameters or use browser network capture.,0,0,,high_vendor_api_adapter
TRV,The Travelers Companies Inc.,company_ir_hub,https://investor.travelers.com/home/default.aspx,crawler_ready,q4_or_q4_like,Q4 feed returned no accepted full-body documents; inspect endpoint parameters or use browser network capture.,0,0,,high_vendor_api_adapter
