scope,feature,feature_family,is_provenance_like,train_nonzero_rate,test_nonzero_rate,train_std,test_std,fwd_20d_realized_vol_train_spearman,fwd_20d_realized_vol_test_spearman,fwd_20d_max_drawdown_train_spearman,fwd_20d_max_drawdown_test_spearman,fwd_5d_return_train_spearman,fwd_5d_return_test_spearman,fwd_20d_high_vol_flag_train_auc,fwd_20d_high_vol_flag_test_auc,fwd_20d_drawdown_flag_train_auc,fwd_20d_drawdown_flag_test_auc,fwd_20d_risk_flag_train_auc,fwd_20d_risk_flag_test_auc,fwd_5d_negative_return_flag_train_auc,fwd_5d_negative_return_flag_test_auc,best_abs_train_spearman,best_abs_test_spearman,stable_continuous_target_signs,best_train_auc_edge,train_only_screen_score
portfolio_date_level,portfolio_signal_consumer_demand_count,portfolio,0,0.9986472776462632,1.0,0.76452257575362,0.7481196623209947,0.008154899189964244,0.19716117449536585,-0.03174720276563764,-0.05098637054989116,-0.015462687515574256,0.009408539976242844,0.49237464799034486,0.5666906856796117,0.5168004608126394,0.48308040851553513,0.5016117616780336,0.5316999785084892,0.5132232579566951,0.4852695437372857,0.03174720276563764,0.19716117449536585,2,0.016800460812639417,0.06534812439091647
portfolio_date_level,portfolio_signal_consumer_demand_flag,portfolio,0,0.9986472776462632,1.0,0.03675448946687325,0.0,-0.03466519473739698,,0.049324661173111385,,0.00862318277049676,,0.49909970863962744,0.5,0.4972972972972973,0.5,0.49780701754385964,0.5,0.5003506630987737,0.5,0.049324661173111385,0.0,0,0.002702702702702675,0.054730066578516735
portfolio_date_level,portfolio_signal_credit_count,portfolio,0,0.6587757862698681,0.6676646706586826,0.7517674613257964,0.7481196623209947,-0.009165702048133719,-0.19716117449536585,0.03330068994855234,0.05098637054989116,0.015677428049440643,-0.009408539976242844,0.5080358775554987,0.4333093143203884,0.4819140182130709,0.5169195914844649,0.49735555269592074,0.46830002149151084,0.48713304123660817,0.5147304562627143,0.03330068994855234,0.19716117449536585,2,0.018085981786929106,0.06947265352241055
portfolio_date_level,portfolio_signal_credit_flag,portfolio,0,0.6587757862698681,0.6676646706586826,0.47412050123823496,0.4710504837200752,-0.00032504902318681493,-0.08124920304655855,0.008543618232264448,0.015722975137834685,0.0013277709456140077,-0.015788384689371826,0.5067643760133611,0.47758646844660196,0.4914438796035548,0.5149597238204833,0.49936301634281305,0.49353105523318286,0.5031324433204929,0.5193257773902935,0.008543618232264448,0.08124920304655855,2,0.00855612039644521,0.025655859025154867
portfolio_date_level,portfolio_signal_energy_count,portfolio,0,0.00033818058843422386,0.0,0.01838657723242138,0.0,0.015427662543765666,,-0.023529366663653566,,-0.015082910308150793,,0.4997744700045106,0.5,0.5006756756756757,0.5,0.5005482456140351,0.5,0.5004557885141294,0.5,0.023529366663653566,0.0,0,0.0006756756756757243,0.024880718015005014
portfolio_date_level,portfolio_signal_energy_flag,portfolio,0,0.00033818058843422386,0.0,0.01838657723242138,0.0,0.015427662543765666,,-0.023529366663653566,,-0.015082910308150793,,0.4997744700045106,0.5,0.5006756756756757,0.5,0.5005482456140351,0.5,0.5004557885141294,0.5,0.023529366663653566,0.0,0,0.0006756756756757243,0.024880718015005014
portfolio_date_level,portfolio_signal_inflation_count,portfolio,0,0.00033818058843422386,0.0,0.01838657723242138,0.0,0.015427662543765666,,-0.023529366663653566,,-0.015082910308150793,,0.4997744700045106,0.5,0.5006756756756757,0.5,0.5005482456140351,0.5,0.5004557885141294,0.5,0.023529366663653566,0.0,0,0.0006756756756757243,0.024880718015005014
portfolio_date_level,portfolio_signal_inflation_flag,portfolio,0,0.00033818058843422386,0.0,0.01838657723242138,0.0,0.015427662543765666,,-0.023529366663653566,,-0.015082910308150793,,0.4997744700045106,0.5,0.5006756756756757,0.5,0.5005482456140351,0.5,0.5004557885141294,0.5,0.023529366663653566,0.0,0,0.0006756756756757243,0.024880718015005014
portfolio_date_level,portfolio_signal_labor_growth_count,portfolio,0,0.9986472776462632,1.0,0.76452257575362,0.7481196623209947,0.008154899189964244,0.19716117449536585,-0.03174720276563764,-0.05098637054989116,-0.015462687515574256,0.009408539976242844,0.49237464799034486,0.5666906856796117,0.5168004608126394,0.48308040851553513,0.5016117616780336,0.5316999785084892,0.5132232579566951,0.4852695437372857,0.03174720276563764,0.19716117449536585,2,0.016800460812639417,0.06534812439091647
portfolio_date_level,portfolio_signal_labor_growth_flag,portfolio,0,0.9986472776462632,1.0,0.03675448946687325,0.0,-0.03466519473739698,,0.049324661173111385,,0.00862318277049676,,0.49909970863962744,0.5,0.4972972972972973,0.5,0.49780701754385964,0.5,0.5003506630987737,0.5,0.049324661173111385,0.0,0,0.002702702702702675,0.054730066578516735
