scope,feature,feature_family,is_provenance_like,train_nonzero_rate,test_nonzero_rate,train_std,test_std,fwd_20d_realized_vol_train_spearman,fwd_20d_realized_vol_test_spearman,fwd_20d_max_drawdown_train_spearman,fwd_20d_max_drawdown_test_spearman,fwd_5d_return_train_spearman,fwd_5d_return_test_spearman,fwd_20d_high_vol_flag_train_auc,fwd_20d_high_vol_flag_test_auc,fwd_20d_drawdown_flag_train_auc,fwd_20d_drawdown_flag_test_auc,fwd_20d_risk_flag_train_auc,fwd_20d_risk_flag_test_auc,fwd_5d_negative_return_flag_train_auc,fwd_5d_negative_return_flag_test_auc,best_abs_train_spearman,best_abs_test_spearman,stable_continuous_target_signs,best_train_auc_edge,train_only_screen_score
stock_row_level,portfolio_signal_consumer_demand_count,portfolio,0,0.9986472776462632,1.0,0.7645225757537901,0.7481196623209909,0.002136028480522371,0.06563037271917883,-0.019115996090138823,-0.03164437279114686,-0.0019484377115577217,0.012260967086056175,0.5006999778854191,0.5282630769299672,0.498570988027464,0.5134444982864791,0.5050315150001915,0.5195603353523113,0.5005336813236346,0.4887143633047078,0.019115996090138823,0.06563037271917883,2,0.0050315150001915,0.029179026090521823
stock_row_level,portfolio_signal_consumer_demand_flag,portfolio,0,0.9986472776462632,1.0,0.036754489466867844,0.0,-0.020877495869868458,,0.032504347381670094,,0.0028192089730197296,,0.4993470084009313,0.5,0.4984452145304295,0.5,0.49895670798112357,0.5,0.49987068978357396,0.5,0.032504347381670094,0.0,0,0.0015547854695704966,0.03561391832081109
stock_row_level,portfolio_signal_credit_count,portfolio,0,0.6587757862698681,0.6676646706586826,0.7517674613260056,0.7481196623209909,-0.0027146606709908877,-0.06563037271917883,0.020159699991370832,0.03164437279114686,0.002204488387614867,-0.012260967086056175,0.49901938737027796,0.47173692307003273,0.5007368370916988,0.48655550171352097,0.4945080649649009,0.4804396646476887,0.4992029746192592,0.5112856366952923,0.020159699991370832,0.06563037271917883,2,0.005491935035099094,0.03114357006156902
stock_row_level,portfolio_signal_credit_flag,portfolio,0,0.6587757862698681,0.6676646706586826,0.47412050123832955,0.47105048372009173,0.0009607500263241319,-0.02942750095058747,0.002997201930106567,0.010498605021264066,-0.0013032219691805837,-0.0167614666502009,0.5017260309232252,0.48892719727165446,0.5032497516009696,0.49675814762632375,0.4998980523724011,0.4937038201785102,0.5015301735676194,0.5110330286323297,0.002997201930106567,0.02942750095058747,2,0.0032497516009696303,0.009496705132045827
stock_row_level,portfolio_signal_energy_count,portfolio,0,0.00033818058843422386,0.0,0.01838657723241721,0.0,0.009142467001948887,,-0.015182881457084654,,-0.004933061917249567,,0.5001476997295862,0.5,0.5003653741121211,0.5,0.5002412392584127,0.5,0.5000797562703025,0.5,0.015182881457084654,0.0,0,0.0003653741121211196,0.015913629681326893
stock_row_level,portfolio_signal_energy_flag,portfolio,0,0.00033818058843422386,0.0,0.01838657723241721,0.0,0.009142467001948887,,-0.015182881457084654,,-0.004933061917249567,,0.5001476997295862,0.5,0.5003653741121211,0.5,0.5002412392584127,0.5,0.5000797562703025,0.5,0.015182881457084654,0.0,0,0.0003653741121211196,0.015913629681326893
stock_row_level,portfolio_signal_inflation_count,portfolio,0,0.00033818058843422386,0.0,0.01838657723241721,0.0,0.009142467001948887,,-0.015182881457084654,,-0.004933061917249567,,0.5001476997295862,0.5,0.5003653741121211,0.5,0.5002412392584127,0.5,0.5000797562703025,0.5,0.015182881457084654,0.0,0,0.0003653741121211196,0.015913629681326893
stock_row_level,portfolio_signal_inflation_flag,portfolio,0,0.00033818058843422386,0.0,0.01838657723241721,0.0,0.009142467001948887,,-0.015182881457084654,,-0.004933061917249567,,0.5001476997295862,0.5,0.5003653741121211,0.5,0.5002412392584127,0.5,0.5000797562703025,0.5,0.015182881457084654,0.0,0,0.0003653741121211196,0.015913629681326893
stock_row_level,portfolio_signal_labor_growth_count,portfolio,0,0.9986472776462632,1.0,0.7645225757537901,0.7481196623209909,0.002136028480522371,0.06563037271917883,-0.019115996090138823,-0.03164437279114686,-0.0019484377115577217,0.012260967086056175,0.5006999778854191,0.5282630769299672,0.498570988027464,0.5134444982864791,0.5050315150001915,0.5195603353523113,0.5005336813236346,0.4887143633047078,0.019115996090138823,0.06563037271917883,2,0.0050315150001915,0.029179026090521823
stock_row_level,portfolio_signal_labor_growth_flag,portfolio,0,0.9986472776462632,1.0,0.036754489466867844,0.0,-0.020877495869868458,,0.032504347381670094,,0.0028192089730197296,,0.4993470084009313,0.5,0.4984452145304295,0.5,0.49895670798112357,0.5,0.49987068978357396,0.5,0.032504347381670094,0.0,0,0.0015547854695704966,0.03561391832081109
stock_row_level,portfolio_signal_macro_rates_count,portfolio,0,0.6587757862698681,0.6676646706586826,0.7581151979903873,0.7481196623209909,-0.00264236008041968,-0.06563037271917883,0.02003286746946286,0.03164437279114686,0.0021749573420183754,-0.012260967086056175,0.4990535439186365,0.47173692307003273,0.5008185898647712,0.48655550171352097,0.49456463287329405,0.4804396646476887,0.4992163515381999,0.5112856366952923,0.02003286746946286,0.06563037271917883,2,0.005435367126705948,0.030903601722874756
